Date,Open,High,Low,Close,Adj Close,Volume
2014-02-17,222.199997,224.000000,221.000000,223.050003,205.902390,3941195
2014-02-18,223.000000,235.300003,221.710007,233.080002,215.161285,10684885
2014-02-19,232.899994,235.600006,231.600006,233.229996,215.299759,7007375
2014-02-20,230.800003,234.380005,229.289993,231.570007,213.767380,9773920
2014-02-21,232.000000,239.600006,232.000000,238.669998,220.321533,9309810
2014-02-24,237.000000,248.979996,236.589996,247.639999,228.601929,12811810
2014-02-25,248.199997,250.199997,245.029999,247.350006,228.334244,9506545
2014-02-26,246.399994,249.399994,245.639999,247.850006,228.795807,9380195
2014-02-28,248.100006,254.320007,247.619995,253.410004,233.928360,9366255
2014-03-03,252.000000,257.140015,249.520004,251.100006,231.795959,9655975
2014-03-04,251.000000,260.980011,251.000000,258.709991,238.820892,11947275
2014-03-05,260.000000,262.839996,258.809998,261.529999,241.424103,13213960
2014-03-06,261.579987,267.000000,261.399994,265.899994,245.458130,9941880
2014-03-07,266.799988,284.730011,265.859985,281.359985,259.729614,23583950
2014-03-10,278.399994,288.359985,278.399994,285.309998,263.375946,16911865
2014-03-11,285.200012,290.600006,282.010010,283.500000,261.705109,19830435
2014-03-12,283.500000,284.980011,278.410004,279.579987,258.086426,10747045
2014-03-13,281.980011,285.000000,275.010010,276.230011,254.994019,10533955
2014-03-14,274.200012,274.200012,266.200012,270.980011,250.147644,13711595
2014-03-18,273.000000,276.600006,268.579987,269.820007,249.076797,9473510
2014-03-19,271.600006,279.790009,270.269989,277.109985,255.806335,20189155
2014-03-20,272.299988,276.679993,269.149994,271.470001,250.599945,12914880
2014-03-21,267.000000,282.390015,264.420013,278.850006,257.412628,64854420
2014-03-22,null,null,null,null,null,null
2014-03-24,280.380005,285.000000,278.850006,282.140015,260.449646,15594445
2014-03-25,282.279999,284.190002,279.230011,280.179993,258.640320,8412610
2014-03-26,282.309998,287.519989,281.170013,286.019989,264.031372,13856980
2014-03-27,286.000000,293.779999,283.200012,285.989990,264.003662,21452140
2014-03-28,286.959991,293.980011,286.010010,292.390015,269.911652,10456480
2014-03-31,294.200012,295.000000,290.019989,292.100006,269.643951,10543390
2014-04-01,294.000000,295.779999,290.709991,293.700012,271.120972,11106200
2014-04-02,291.600006,294.929993,287.480011,293.429993,270.871674,6919030
2014-04-03,293.779999,293.779999,285.619995,286.970001,264.908356,5572305
2014-04-04,286.000000,290.100006,283.600006,285.630005,263.671387,8209800
2014-04-07,285.579987,287.910004,282.019989,284.410004,262.545135,5393885
2014-04-09,285.700012,298.000000,284.230011,296.790009,273.973419,8360910
2014-04-10,296.890015,303.519989,295.149994,300.739990,277.619720,10369990
2014-04-11,297.000000,301.329987,296.000000,299.149994,276.151947,5411945
2014-04-15,298.799988,299.070007,286.859985,289.040009,266.819183,4690300
2014-04-16,289.399994,292.940002,285.399994,286.390015,264.372955,4174880
2014-04-17,287.399994,294.529999,287.399994,292.929993,270.410126,6318240
2014-04-21,294.000000,302.000000,293.799988,300.760010,277.638184,5660175
2014-04-22,301.200012,302.359985,297.619995,300.019989,276.955048,4972865
2014-04-23,298.399994,306.769989,298.399994,303.959991,280.592163,8169030
2014-04-24,303.959991,303.959991,303.959991,303.959991,280.592163,0
2014-04-25,304.399994,309.600006,300.230011,306.540009,282.973816,12287160
2014-04-28,310.000000,310.959991,305.000000,305.910004,282.392273,8868885
2014-04-29,307.200012,308.989990,301.540009,305.679993,282.179962,5984595
2014-04-30,307.579987,309.700012,299.429993,303.440002,280.112152,6673185
2014-05-02,305.070007,307.739990,303.700012,306.029999,282.503052,4528060
2014-05-05,307.190002,312.980011,304.299988,310.309998,286.453979,7227275
2014-05-06,311.000000,312.649994,305.700012,307.390015,283.758514,5337910
2014-05-07,306.739990,311.200012,303.339996,307.540009,283.896973,6034730
2014-05-08,308.399994,311.880005,306.600006,310.750000,286.860199,6485510
2014-05-09,311.179993,330.000000,309.549988,325.799988,300.753174,11327365
2014-05-12,330.600006,338.350006,327.820007,329.309998,303.993317,9777475
2014-05-13,335.000000,336.399994,328.000000,329.750000,304.399506,9343160
2014-05-14,330.399994,334.000000,326.070007,327.299988,302.137848,6712060
2014-05-15,328.000000,334.980011,327.809998,332.809998,307.224243,7888990
2014-05-16,350.000000,369.809998,336.799988,351.000000,324.015839,19275385
2014-05-19,355.399994,379.880005,355.399994,371.920013,343.327545,11546880
2014-05-20,374.000000,378.559998,368.209991,371.390015,342.838318,6207320
2014-05-21,371.600006,373.440002,362.010010,363.029999,335.121002,5343765
2014-05-22,365.799988,371.600006,361.019989,368.329987,340.013550,4446910
2014-05-23,369.250000,374.690002,368.000000,372.899994,344.232208,5853140
2014-05-26,375.399994,385.760010,369.600006,374.589996,345.792267,8715260
2014-05-27,371.820007,374.459991,366.010010,369.809998,341.379761,4665425
2014-05-28,369.809998,375.000000,365.049988,371.980011,343.382965,5950100
2014-05-29,371.799988,378.679993,370.100006,373.140015,344.453796,10555410
2014-05-30,373.799988,373.799988,364.799988,367.230011,338.998138,3890590
2014-06-02,366.450012,381.399994,364.510010,380.170013,350.943298,5954760
2014-06-03,381.980011,384.980011,377.600006,379.929993,350.721741,6000185
2014-06-04,378.399994,386.600006,376.220001,384.940002,355.346588,4109700
2014-06-05,385.000000,390.000000,383.399994,389.269989,359.343689,5422885
2014-06-06,391.079987,396.700012,389.019989,394.720001,364.374756,4047810
2014-06-09,397.000000,397.920013,392.179993,393.450012,363.202362,3942460
2014-06-10,393.600006,393.869995,385.059998,386.500000,356.786682,4218745
2014-06-11,387.209991,393.700012,385.600006,388.160004,358.319061,4870360
2014-06-12,384.799988,385.600006,378.489990,380.549988,370.377838,4192650
2014-06-13,379.799988,381.579987,362.140015,363.600006,353.880951,6276850
2014-06-16,362.399994,364.399994,350.000000,354.619995,345.140991,6851985
2014-06-17,354.000000,369.600006,352.109985,367.920013,358.085480,7990990
2014-06-18,369.000000,375.179993,364.609985,369.700012,359.817902,9690125
2014-06-19,370.420013,373.399994,365.260010,368.359985,358.513702,5141745
2014-06-20,366.000000,376.739990,365.600006,373.269989,363.292450,5838570
2014-06-23,372.399994,377.989990,371.010010,376.589996,366.523682,5348310
2014-06-24,376.200012,386.000000,376.200012,385.000000,374.708923,5401370
2014-06-25,386.799988,386.799988,381.000000,382.540009,372.314667,4149915
2014-06-26,383.049988,387.799988,381.540009,385.519989,375.214996,5944135
2014-06-27,385.690002,387.339996,380.040009,381.839996,371.633362,4505300
2014-06-30,386.399994,390.000000,382.200012,383.769989,373.511780,4887415
2014-07-01,385.600006,387.079987,383.279999,384.010010,373.745392,4136855
2014-07-02,388.000000,388.299988,384.649994,385.369995,375.069031,3797820
2014-07-03,387.399994,389.540009,382.579987,385.140015,374.845215,4618140
2014-07-04,385.000000,389.600006,383.440002,387.179993,376.830597,4327275
2014-07-07,387.500000,388.429993,383.010010,384.600006,374.319611,3179705
2014-07-08,384.760010,385.399994,370.399994,377.649994,367.555328,4531395
2014-07-09,375.980011,382.380005,372.859985,374.720001,364.703705,5950625
2014-07-10,375.019989,387.720001,365.010010,372.410004,362.455444,8857260
2014-07-11,372.019989,375.040009,361.519989,363.329987,353.618164,5105850
2014-07-14,363.559998,372.170013,361.459991,369.320007,359.448059,3296985
2014-07-15,370.970001,380.690002,370.399994,379.779999,369.628448,3557585
2014-07-16,386.480011,395.000000,381.209991,392.760010,382.261475,6120160
2014-07-17,394.000000,394.200012,389.239990,390.839996,380.392792,3613160
2014-07-18,389.000000,401.970001,386.500000,399.160004,388.490417,6500310
2014-07-21,402.799988,407.600006,400.519989,404.670013,393.853149,5750940
2014-07-22,406.880005,407.130005,400.440002,403.260010,392.480835,5523135
2014-07-23,403.760010,408.609985,396.799988,400.010010,389.317688,8698735
2014-07-24,400.000000,402.179993,396.500000,399.339996,388.665588,4828895
